Brand;Model;Vechime;Tip de combustibil;Tip de transmisie;Capacitatea motorului;Putere motor;KM;Pãr?i înlocuite;Pãr?i vopsite;Pre?
Renault;Fluence;8;Motorinã;Automatã;1500;110;217000;0;4;128000
Opel;Corsa;8;Motorinã;Manualã;1200;75;108000;2;2;90000
Mercedes;E;8;Motorinã;Automatã;3000;265;155000;1;1;450000
Ford;Focus;9;Motorinã;Manualã;1600;110;98420;0;0;130500
Toyota;Corolla;3;Benzinã;Manualã;1300;99;78000;0;1;154000
Opel;Corsa;10;Motorinã;Manualã;1200;75;125000;0;1;100000
Renault;Fluence;5;Motorinã;Manualã;1500;90;130000;0;0;135000
Fiat;Albea;12;Motorinã;Manualã;1200;70;228000;2;9;44000
Renault;Clio;8;Motorinã;Manualã;1500;90;185000;0;0;121000
Toyota;Corolla;4;Benzinã;Manualã;1300;99;47500;0;1;150000
Ford;C-Max;14;Motorinã;Manualã;1600;110;190000;0;0;63000
Ford;Fiesta;5;Benzinã;Automatã;1000;100;122000;0;0;161500
MINI;Cooper;14;Benzinã;Automatã;1600;170;195000;1;6;115000
BMW;X1;5;Benzinã;Automatã;1600;136;80000;0;0;190000
Dacia;Lodgy;2;Motorinã;Manualã;1500;90;67000;0;4;141000
Opel;Astra;9;Motorinã;Automatã;1200;90;212000;0;9;97000
Opel;Corsa;6;Motorinã;Manualã;1200;75;160000;2;2;110000
Ford;Focus;3;Benzinã;Manualã;1600;125;38500;0;0;175000
Renault;Megane;12;Motorinã;Manualã;1500;100;210000;1;1;90000
Fiat;Palio;21;Benzinã;Manualã;1400;77;228888;3;0;32500
Toyota;Corolla;7;Motorinã;Manualã;1400;90;61000;0;0;181750
Dacia;Sandero;0;Benzinã;Automatã;900;90;400;0;0;185000
Fiat;Linea;8;Motorinã;Automatã;1200;90;150855;4;0;73000
Peugeot;308;1;Motorinã;Automatã;1500;132;15700;0;0;235000
Volkswagen;Golf;2;Benzinã;Automatã;1000;110;33000;0;0;259000
Hyundai;Accent;11;Benzinã;Manualã;1400;97;131000;0;1;77500
Fiat;Linea;8;Motorinã;Manualã;1200;95;243000;0;8;65000
Opel;Astra;5;Benzinã;Manualã;1400;140;42000;0;0;170000
Skoda;Octavia;5;Motorinã;Automatã;1600;105;152000;1;0;177500
Hyundai;i30;5;Benzinã;Manualã;1600;186;96000;1;0;215000
Citroen;C5;9;Motorinã;Automatã;1600;114;350000;1;6;95000
Renault;Symbol;8;Benzinã;Manualã;1100;75;66000;2;0;80600
Renault;Symbol;9;Motorinã;Manualã;1500;85;213500;0;0;72500
Volkswagen;Polo;7;Motorinã;Automatã;1600;90;220000;4;2;120000
Seat;Ibiza;5;Benzinã;Manualã;1400;85;56750;0;0;138000
Peugeot;308;5;Motorinã;Automatã;1600;122;71000;0;0;169000
Toyota;Avensis;5;Benzinã;Manualã;1600;132;93000;0;1;181750
Volkswagen;Passat;14;Benzinã;Manualã;1600;115;235000;0;5;105000
Opel;Astra;7;Benzinã;Manualã;1600;115;101000;2;0;121500
Volkswagen;Golf;6;Motorinã;Automatã;1600;105;118000;1;1;189000
Renault;Megane;1;Benzinã;Manualã;1600;115;36500;0;0;171000
Volkswagen;Polo;8;Benzinã;Automatã;1400;85;80000;2;1;133850
Peugeot;307;17;Benzinã;Manualã;1600;110;229000;1;4;56000
Renault;Clio;1;Benzinã;Manualã;1100;75;6200;0;0;132850
Chevrolet;Aveo;9;Benzinã;Manualã;1400;100;100000;0;4;85000
Volkswagen;Jetta;6;Motorinã;Manualã;1600;105;65000;1;0;199000
Hyundai;Accent;8;Motorinã;Automatã;1600;128;164000;0;1;130000
Skoda;Octavia;3;Motorinã;Automatã;1600;115;107000;0;0;235000
Ford;Focus;2;Motorinã;Automatã;1500;120;110000;0;2;197000
Honda;Civic;18;Benzinã;Automatã;1600;110;201500;1;11;79000
Hyundai;i30;9;Motorinã;Manualã;1600;115;213000;1;8;82500
Seat;Leon;2;Benzinã;Manualã;1400;125;24800;0;0;224000
Opel;Corsa;10;Motorinã;Manualã;1200;75;250000;0;5;80000
Nissan;Micra;6;Benzinã;Automatã;1200;80;59000;0;0;136000
Opel;Vectra;13;Motorinã;Automatã;1900;150;286000;0;0;80500
Opel;Insignia;3;Benzinã;Automatã;1500;165;51000;0;0;266000
Toyota;Corolla;16;Benzinã;Manualã;1600;110;207000;0;3;78500
Renault;R;28;Benzinã;Manualã;1400;83;379973;0;0;23500
Ford;Mondeo;16;Motorinã;Automatã;2000;130;227000;1;5;87000
Toyota;Corolla;8;Motorinã;Manualã;1400;90;85000;0;1;129000
Renault;Symbol;5;Motorinã;Manualã;1500;90;185000;2;5;86000
Hyundai;Accent;9;Motorinã;Automatã;1500;110;218000;2;3;93750
Renault;Megane;3;Motorinã;Automatã;1500;110;106000;0;0;217500
Opel;Vectra;25;Benzinã;Manualã;2000;115;488000;4;9;31500
Toyota;Corolla;17;Benzinã;Manualã;1600;110;241000;0;3;89000
Opel;Zafira;19;Motorinã;Manualã;2000;100;198000;0;0;61000
Toyota;Corolla;3;Benzinã;Manualã;1300;99;38000;0;0;164750
Ford;Focus;5;Motorinã;Manualã;1600;95;76000;0;1;170000
Hyundai;Accent;22;Benzinã;Manualã;1200;63;300000;0;0;40000
Renault;Clio;13;Motorinã;Manualã;1500;65;398000;0;0;49500
Ford;Focus;16;Benzinã;Manualã;1600;100;157000;0;4;62000
Renault;Megane;6;Motorinã;Automatã;1500;110;176000;0;6;138000
Fiat;Uno;26;Benzinã;Manualã;1100;58;338000;0;0;23500
Honda;Civic;3;Benzinã;Automatã;1600;125;125000;1;0;208000
Hyundai;Getz;16;Motorinã;Manualã;1500;82;206000;1;4;59000
Ford;Focus;12;Benzinã;Automatã;1600;100;189000;1;5;93750
Honda;Civic;7;Benzinã;Automatã;1600;125;120000;0;3;183000
Volkswagen;Passat;14;Benzinã;Automatã;1600;115;155500;0;2;130000
Toyota;Corolla;25;Benzinã;Manualã;1600;114;270000;2;0;55000
Audi;A4;3;Benzinã;Automatã;1400;150;70000;3;0;389000
Renault;Clio;3;Motorinã;Automatã;1500;90;52000;0;0;160000
Alfa;147;16;Benzinã;Manualã;1600;105;198000;2;10;68000
Hyundai;Accent;9;Motorinã;Automatã;1600;128;150000;0;0;128000
Citroen;C-Elysee;6;Motorinã;Manualã;1600;93;126000;0;0;105500
Audi;A4;9;Motorinã;Automatã;2000;143;210000;0;1;224750
Honda;Civic;1;Benzinã;Automatã;1600;125;14750;0;0;235000
Renault;R;28;Benzinã;Manualã;1400;72;272000;0;2;20000
Volkswagen;Golf;4;Benzinã;Automatã;1400;125;123000;0;2;212000
Opel;Astra;14;Benzinã;Automatã;1600;105;258000;3;2;88600
Renault;Clio;20;Benzinã;Manualã;1600;90;234;2;2;49000
Citroen;Xsara;16;Motorinã;Manualã;1400;69;295000;0;0;37500
Volkswagen;Golf;20;Benzinã;Manualã;1600;105;354000;1;11;65250
Fiat;Punto;8;Motorinã;Automatã;1200;95;135000;0;0;112000
Renault;Clio;5;Motorinã;Manualã;1500;90;44361;0;2;153000
Renault;Fluence;5;Motorinã;Automatã;1500;110;140000;0;0;145500
Mercedes;C;4;Benzinã;Automatã;1600;156;68250;0;0;395000
Volkswagen;Scirocco;8;Benzinã;Manualã;1400;122;120000;1;1;180000
Hyundai;i20;2;Benzinã;Automatã;1400;100;37000;0;0;184000
Volkswagen;Passat;5;Motorinã;Automatã;1600;120;57000;0;0;298000
Ford;Focus;8;Motorinã;Manualã;1600;95;148000;0;0;114750
Citroen;C5;9;Motorinã;Automatã;1600;114;210000;2;1;115000
Hyundai;i20;3;Benzinã;Automatã;1400;100;75000;0;2;161500
Toyota;Corolla;10;Benzinã;Manualã;1600;124;164000;1;1;118000
BMW;3;8;Benzinã;Automatã;1600;116;92000;1;2;204000
Ford;Focus;13;Motorinã;Automatã;1600;110;160000;0;2;80000
Fiat;Uno;22;Benzinã;Manualã;1400;71;249000;0;1;29500
Ford;Fiesta;6;Motorinã;Manualã;1500;75;183000;0;0;129000
Hyundai;i30;8;Motorinã;Manualã;1600;128;38000;0;0;165000
